Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,0.10197,0.10321,0.10075,0.10197,96517416
1984-09-10,0.10197,0.10228,0.09952,0.10137,74913260
1984-09-11,0.10228,0.10506,0.10228,0.10321,176649912
1984-09-12,0.10321,0.10382,0.10013,0.10013,154318764
1984-09-13,0.10568,0.10598,0.10568,0.10568,240345769
1984-09-14,0.10598,0.10967,0.10598,0.10722,286176545
1984-09-17,0.10999,0.11153,0.10999,0.10999,223441531
1984-09-18,0.10999,0.11091,0.10598,0.10598,112798400
1984-09-19,0.10598,0.10722,0.10382,0.10382,123210945
1984-09-20,0.10414,0.10506,0.10414,0.10414,76705002
1984-09-21,0.10414,0.10722,0.10197,0.10321,115732545
1984-09-24,0.10321,0.10382,0.10228,0.10228,91583807
1984-09-25,0.10197,0.10197,0.10013,0.10013,193346420
1984-09-26,0.10013,0.10474,0.09891,0.09891,128637955
1984-09-27,0.09891,0.09952,0.09891,0.09891,122795477
1984-09-28,0.09891,0.09891,0.09459,0.09642,270570684
1984-10-01,0.09613,0.09613,0.09428,0.09428,113343675
1984-10-02,0.09489,0.09828,0.09489,0.09489,137076998
1984-10-03,0.09642,0.09797,0.09642,0.09642,139595804
1984-10-04,0.09765,0.09828,0.09765,0.09765,145464218
1984-10-05,0.09765,0.09765,0.09489,0.09551,113110004
1984-10-08,0.09551,0.09613,0.09551,0.09551,54451720
1984-10-09,0.09551,0.09613,0.09459,0.09459,145204535
1984-10-10,0.09459,0.09459,0.09181,0.09181,422941982
1984-10-11,0.09181,0.09428,0.0912,0.0912,211860502
1984-10-12,0.0912,0.09181,0.08657,0.08719,308118250
1984-10-15,0.09211,0.09304,0.09211,0.09211,281995945
1984-10-16,0.09211,0.09243,0.09181,0.09181,136817406
1984-10-17,0.09551,0.09613,0.09551,0.09551,181583617
1984-10-18,0.09828,0.09891,0.09828,0.09828,286514110
1984-10-19,0.09828,0.10506,0.09797,0.09828,378045988
1984-10-22,0.09828,0.09982,0.09765,0.09765,133026301
1984-10-23,0.09982,0.10075,0.09982,0.09982,216119028
1984-10-24,0.10075,0.10197,0.10075,0.10075,193606087
1984-10-25,0.10075,0.10075,0.09704,0.09704,183349350
1984-10-26,0.09704,0.09704,0.09428,0.09459,133130120
1984-10-29,0.09489,0.09551,0.09489,0.09489,58710218
1984-10-30,0.09613,0.09704,0.09613,0.09613,86468385
1984-10-31,0.09613,0.09704,0.09551,0.09551,69823879
